title,info,img_url
每日新闻播报（November 11）,今日播报内容：《地下水管理条例》签署下月起施行；抑郁症筛查纳入学生健康体检；潍坊获'手工艺与民间艺术之都'称号；全球首款'火星番茄酱'问世。,//img2.chinadaily.com.cn/images/202111/11/618cd34ea310cdd3d819c913.jpeg
科普：全球升温1.5度和2度区别到底有多大？,《巴黎协定》提出目标，要把升幅控制在2摄氏度以内，同时尽力不超过1.5摄氏度。全球升温1.5度和2度的区别到底有多大？,//img2.chinadaily.com.cn/images/202111/11/618cc2dfa310cdd3d819c643.jpeg
一课译词：事与愿违,“事与愿违”，事情的发展结局与主观愿望相违背，形容事情不能称心如意。可以翻译为“fail to obtain the desired result”等。,//img2.chinadaily.com.cn/images/202111/11/618ca355a310cdd3d819bfa8.jpeg
“十四五”我国将持续提升技工院校毕业生待遇,推动落实毕业生享受就业创业、参军入伍等相关政策，全面加强学生权益保障。,//img2.chinadaily.com.cn/images/202111/11/618c841ca310cdd3d819ba5c.jpeg
每日新闻播报（November 10）,今日播报内容：前10月我国进出口实现增长；央行推出碳减排支持工具；国家电网保供电取得阶段性成效；全球新冠确诊破2.5亿例。,//img2.chinadaily.com.cn/images/202111/10/618b90f9a310cdd3d819952e.jpeg
每日一词∣创意城市网络 Creative Cities Network,山东潍坊市成功加入联合国教科文组织“创意城市网络”，并被授予“手工艺与民间艺术之都”称号。,//img2.chinadaily.com.cn/images/202111/10/618b8a14a310cdd3d8199373.jpeg
施瓦辛格励志演讲：心中有目标，才有机会成功,施瓦辛格用自己的经历告诉人们，目标很重要，有了目标，才会一步步走向成功。不要在意那些唱衰的人，朝着目标努力奋斗。,//img2.chinadaily.com.cn/images/202111/10/618b8313a310cdd3d8199081.jpeg
新加坡：主动放弃打疫苗者 需自付新冠医药费,新加坡卫生部宣布，从12月8日起，可以接种疫苗却拒打的人若感染新冠病毒，需自付医药费。此举是为了鼓励民众尽快接种疫苗。,//img2.chinadaily.com.cn/images/202111/10/618b753ca310cdd3d8198cc0.jpeg
一课译词：防不胜防,“防不胜防”，汉语成语，意思是想防备但防备不过来。可以翻译为“impossible to guard against”等。,//img2.chinadaily.com.cn/images/202111/10/618b51d5a310cdd3d81983a2.jpeg
《地下水管理条例》公布 12月1日起施行,《条例》从调查与规划、节约与保护、超采治理、污染防治、监督管理等方面作出规定。,//img2.chinadaily.com.cn/images/202111/10/618b2f59a310cdd3d8197cba.jpeg
buy time不是“买时间”，buy the farm也不是“买农场”,说起买东西，大家都知道英语是buy something。但需要注意的是，并不是所有buy××的短语都是“买”的意思哦~毕竟不是万物皆可买！,//img2.chinadaily.com.cn/images/202111/10/618b27a4a310cdd3d81978ee.jpeg
每日一词∣文物保护和科技创新,到2025年，文物保护水平全面提升，文物科技创新能力实现跃升。,//img2.chinadaily.com.cn/images/202111/09/618a3894a310cdd3d8195557.jpeg
每日新闻播报（Nov 9）,今日播报内容有：神十三航天员完成首次出舱任务，北方地区迎来大范围降雪等。,//img2.chinadaily.com.cn/images/202111/09/618a2ab1a310cdd3d8195405.jpeg
