名称,最新价,最高,最低,涨跌,涨跌幅,交易量,时间
AMMB,3.18,3.19,3.16,+0.03,+0.95%,356,11:38:00
联昌国际集团控股,5.20,5.21,5.18,+0.01,+0.19%,1020,11:37:00
RHB Bank,5.32,5.33,5.30,-0.01,-0.19%,674,11:37:00
Hong Leong Financial,17.14,17.20,17.06,+0.04,+0.23%,15,11:31:00
Malayan Banking,8.11,8.17,8.10,-0.05,-0.61%,1330,11:37:00
马来西亚大众银行,4.06,4.07,4.05,-0.01,-0.25%,2240,11:35:00
IOI Corp,3.78,3.81,3.76,+0.02,+0.53%,158,11:22:00
Kuala Lumpur Kepong,20.66,20.80,20.14,+0.40,+1.97%,208,11:38:00
Hap Seng Consolidated,7.59,7.64,7.58,-0.05,-0.65%,15,11:37:00
云顶集团,4.94,4.98,4.92,-0.02,-0.40%,961,11:36:00
MISC,6.83,6.84,6.82,+0.01,+0.15%,90,11:35:00
PPB,17.20,17.40,17.10,+0.10,+0.58%,57,11:37:00
Sime Darby,2.220,2.220,2.200,+0.020,+0.91%,218,11:34:00
国家能源,9.48,9.52,9.48,-0.02,-0.21%,555,11:37:00
顶级手套,2.27,2.31,2.26,+0.01,+0.44%,7400,11:37:00
Genting Malaysia,3.06,3.08,3.05,-0.01,-0.33%,1120,11:37:00
Malaysia Airport,6.39,6.42,6.35,-0.01,-0.16%,75,11:36:00
Hartalega,5.10,5.17,5.07,-0.01,-0.20%,1600,11:37:00
国油化学,8.33,8.38,8.32,+0.02,+0.24%,1810,11:37:00
IHH Healthcare,6.71,6.73,6.69,+0.01,+0.15%,125,11:37:00
Petronas Dagangan,20.02,20.02,19.70,+0.12,+0.60%,1,10:31:00
Hong Leong Bank,18.28,18.32,18.26,-0.02,-0.11%,30,11:36:00
明讯通讯,4.59,4.60,4.54,+0.06,+1.32%,116,11:38:00
Petronas Gas,16.28,16.36,16.24,-0.02,-0.12%,73,11:37:00
亚通集团,3.95,3.98,3.94,+0.01,+0.25%,268,11:34:00
DiGi.Com,4.17,4.20,4.17,-0.01,-0.24%,114,11:37:00
Dialog,2.70,2.72,2.64,0.00,0.00%,2110,11:37:00
Nestle,133.30,133.60,133.00,+0.30,+0.23%,12,11:36:00
Press Metal Bhd,5.66,5.70,5.61,-0.04,-0.70%,543,11:38:00
Sime Darby Plantation,3.86,3.89,3.84,-0.03,-0.77%,377,11:37:00
